"extract_date","tx_incid","R","taux_occupation_sae","tx_pos"
"2020-04-26",18.3377884755335,NA,90.9,NA
"2020-04-27",17.0420055689439,NA,89.5,NA
"2020-04-28",15.6627199664176,NA,86.8,NA
"2020-04-29",14.4877177450222,NA,81.6,NA
"2020-04-30",13.4707741980785,NA,78,NA
"2020-05-01",11.7634422900865,NA,75.5,NA
"2020-05-02",10.9239419720083,NA,74.5,NA
"2020-05-03",10.7181674713071,NA,74.4,NA
"2020-05-04",10.3245119047482,NA,71.9,NA
"2020-05-05",9.73999303319114,NA,66.7,NA
"2020-05-06",9.15249192249345,NA,61.2,NA
"2020-05-07",8.5277128225383,NA,57.6,NA
"2020-05-08",8.30851824570439,NA,55.8,NA
"2020-05-09",8.00432985336345,NA,54.6,NA
"2020-05-10",7.87609357031776,NA,53.9,NA
"2020-05-11",7.4913847211807,NA,52.7,NA
"2020-05-12",6.86809674079584,NA,49.3,NA
"2020-05-13",6.34918713033189,NA,47.2,NA
"2020-05-14",6.04947209670185,NA,44.6,NA
"2020-05-15",6.14490374920096,NA,42.7,NA
"2020-05-16",6.25673771697337,NA,41.3,NA
"2020-05-17",6.08675008595932,NA,40.5,NA
"2020-05-18",5.79449065018077,NA,38.7,NA
"2020-05-19",8.26229353902513,NA,36.7,2.20220021302641
"2020-05-20",8.49938155070262,NA,34.7,2.15810995002272
"2020-05-21",7.2602611877844,NA,33.8,2.11053315994798
"2020-05-22",6.91879480618599,NA,32.9,2.00313421430946
"2020-05-23",6.88151681692853,NA,32.2,1.97606456999722
"2020-05-24",6.88002569735823,NA,32,1.97341408335044
"2020-05-25",6.25971995611397,NA,31.1,1.80607301732075
"2020-05-26",5.870537748266,NA,30,1.68618246918445
"2020-05-27",5.37995940963773,NA,29,1.60269366251927
"2020-05-28",6.06438329240483,NA,27.6,1.57718797505662
"2020-05-29",5.71247907381434,NA,26.3,1.49695217255392
"2020-05-30",5.82431304158674,NA,25.6,1.5211761269594
"2020-05-31",5.89439566139078,NA,25.4,1.5319389704657
"2020-06-01",5.07726213686709,0.84,25.1,1.56007312413234
"2020-06-02",5.02209071276604,0.83,24.1,1.58418076970113
"2020-06-03",4.91771234284513,0.83,23.3,1.56270730274256
"2020-06-04",4.89683666886095,0.84,22.4,1.57941565468318
"2020-06-05",4.85210308175199,0.85,21.1,1.58642712624625
"2020-06-06",4.76561814667466,0.86,20.4,1.56302726494682
"2020-06-07",4.66422201589435,0.88,20.2,1.53803791991189
"2020-06-08",5.26514320272473,0.89,19.7,1.49780483149165
"2020-06-09",5.01612623448484,0.9,18.3,1.45864498644986
"2020-06-10",4.85508532089258,0.9,17.9,1.43858191875723
"2020-06-11",4.85508532089258,0.9,17.3,1.45660819655263
"2020-06-12",4.92516794069662,0.89,16.8,1.49536179787489
"2020-06-13",4.78351158151825,0.89,16.7,1.45727433371037
"2020-06-14",4.75518030968257,0.88,16.6,1.45439122166126
"2020-06-15",4.64632858105077,0.87,16.2,1.43087399951325
"2020-06-16",4.57177260253583,0.86,15.7,1.41641489037337
"2020-06-17",4.82377180991631,0.86,14.7,1.49996986150201
"2020-06-18",4.75518030968257,0.86,14.3,1.48647766787549
"2020-06-19",4.86850539702527,0.86,13.8,1.51417480951078
"2020-06-20",5.08769997385918,0.87,13.6,1.56528839934122
"2020-06-21",5.09217333257008,0.87,13.6,1.56777229427293
"2020-06-22",5.24128528959995,0.88,13.3,1.58931114778559
"2020-06-23",5.46495322514475,0.89,12.9,1.62233465687511
"2020-06-24",5.38592388791892,0.9,12.5,1.56607700312175
"2020-06-25",5.27856327885742,0.91,12.3,1.52652005174644
"2020-06-26",5.13392468053844,0.92,12,1.45698446955271
"2020-06-27",5.13690691967904,0.93,11.7,1.44284128745838
"2020-06-28",5.30540343112279,0.95,11.7,1.48061838080772
